title,author,year,rating,subject
Treasure Island,Robert Louis Stevenson,1880,N/A,thriller
The Mysterious Affair at Styles,Agatha Christie,1920,N/A,thriller
Dracula,Bram Stoker,1897,N/A,thriller
The Thirty-Nine Steps,John Buchan,1915,N/A,thriller
The Jewel of Seven Stars,Bram Stoker,1902,N/A,thriller
The Red Badge of Courage,Stephen Crane,1855,N/A,thriller
The Prisoner of Zenda,Anthony Hope,1800,N/A,thriller
The Riddle of the Sands,Erskine Childers,1903,N/A,thriller
The deerslayer,James Fenimore Cooper,1841,N/A,thriller
The Pathfinder,James Fenimore Cooper,1800,N/A,thriller
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872,N/A,thriller
Vingt mille lieues sous les mers,Jules Verne,1870,N/A,thriller
The pioneers,James Fenimore Cooper,1800,N/A,thriller
White Fang,Jack London,1905,N/A,thriller
Kidnapped,Robert Louis Stevenson,1886,N/A,thriller
Mr. Standfast,John Buchan,1919,N/A,thriller
A strange disappearance,Anna Katharine Green,1879,N/A,thriller
The Evil Shepherd,Edward Phillips Oppenheim,1922,N/A,thriller
Otto of the Silver Hand,Howard Pyle,1888,N/A,thriller
Voyage au Centre de la Terre,Jules Verne,1867,N/A,thriller
Lord of the Flies,William Golding,1954,N/A,thriller
The Beetle,Richard Marsh,1917,N/A,thriller
An American Tragedy,Theodore Dreiser,1900,N/A,thriller
In Secret,Robert W. Chambers,1919,N/A,thriller
The Drums of Jeopardy,Harold MacGrath,1920,N/A,thriller
Nightmare Abbey,Thomas Love Peacock,1818,N/A,thriller
The Eye of Osiris,R. Austin Freeman,1911,N/A,thriller
Carrie,Stephen King,1974,N/A,thriller
The Four Just Men,Edgar Wallace,1905,N/A,thriller
Misery,Stephen King,1978,N/A,thriller
