title,author,year,rating,subject
Alice's Adventures in Wonderland,Lewis Carroll,1865,N/A,fantasy
The Wonderful Wizard of Oz,L. Frank Baum,1899,N/A,fantasy
Treasure Island,Robert Louis Stevenson,1880,N/A,fantasy
Gulliver's Travels,Jonathan Swift,1726,N/A,fantasy
The Prince,Niccolò Machiavelli,1515,N/A,fantasy
Through the Looking-Glass,Lewis Carroll,1865,N/A,fantasy
Wind in the Willows,Kenneth Grahame,1908,N/A,fantasy
Five Children and It,Edith Nesbit,1905,N/A,fantasy
A Midsummer Night's Dream,William Shakespeare,1600,N/A,fantasy
The Lost World,Arthur Conan Doyle,1900,N/A,fantasy
The Marvelous Land of Oz,L. Frank Baum,1904,N/A,fantasy
Ozma of Oz,L. Frank Baum,1907,N/A,fantasy
The Emerald City of Oz,L. Frank Baum,1910,N/A,fantasy
Dorothy and the Wizard in Oz,L. Frank Baum,1908,N/A,fantasy
The Lost Princess of Oz,L. Frank Baum,1917,N/A,fantasy
The Story of the Amulet,Edith Nesbit,1905,N/A,fantasy
The Complete Life and Adventures of Santa Claus,L. Frank Baum,1902,N/A,fantasy
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,1889,N/A,fantasy
The Road to Oz,L. Frank Baum,1909,N/A,fantasy
The Sea Fairies,L. Frank Baum,1911,N/A,fantasy
Baum's American Fairy Tales,L. Frank Baum,1901,N/A,fantasy
Sky Island,L. Frank Baum,1912,N/A,fantasy
The Scarecrow of Oz,L. Frank Baum,1915,N/A,fantasy
The Patchwork Girl of Oz,L. Frank Baum,1913,N/A,fantasy
The Magic of Oz,L. Frank Baum,1919,N/A,fantasy
Tik-Tok of Oz,L. Frank Baum,1914,N/A,fantasy
Rinkitink in Oz,L. Frank Baum,1916,N/A,fantasy
The Enchanted Castle,Edith Nesbit,1907,N/A,fantasy
The Tin Woodman of Oz,L. Frank Baum,1918,N/A,fantasy
The Hobbit,J.R.R. Tolkien,1937,N/A,fantasy
