title,author,year,rating,subject
Alice's Adventures in Wonderland,Lewis Carroll,1865,N/A,science_fiction
Frankenstein or The Modern Prometheus,Mary Shelley,1818,N/A,science_fiction
The Wonderful Wizard of Oz,L. Frank Baum,1899,N/A,science_fiction
The Time Machine,H. G. Wells,1895,N/A,science_fiction
The Lost World,Arthur Conan Doyle,1900,N/A,science_fiction
Dracula,Bram Stoker,1897,N/A,science_fiction
Brave New World,Aldous Huxley,1932,N/A,science_fiction
The Iron Heel,Jack London,1907,N/A,science_fiction
The Invisible Man,H. G. Wells,0,N/A,science_fiction
Flatland,Edwin Abbott Abbott,1884,N/A,science_fiction
The War of the Worlds,H. G. Wells,0,N/A,science_fiction
The Napoleon of Notting Hill,Gilbert Keith Chesterton,1904,N/A,science_fiction
Nineteen Eighty-Four,George Orwell,1949,N/A,science_fiction
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872,N/A,science_fiction
The Princess and Curdie,George MacDonald,1832,N/A,science_fiction
Vingt mille lieues sous les mers,Jules Verne,1870,N/A,science_fiction
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1875,N/A,science_fiction
The Poison Belt,Arthur Conan Doyle,1913,N/A,science_fiction
The Island of Dr. Moreau,H. G. Wells,1896,N/A,science_fiction
Fahrenheit 451,Ray Bradbury,1953,N/A,science_fiction
The Secret Agent,Joseph Conrad,1907,N/A,science_fiction
The Moon Pool,A. Merritt,1919,N/A,science_fiction
At The Earth's Core And Out Of Time's Abyss,Edgar Rice Burroughs,1914,N/A,science_fiction
The warlord of Mars #3,Edgar Rice Burroughs,1919,N/A,science_fiction
Мы,Евгений Иванович Замятин,1924,N/A,science_fiction
De la terre à la lune,Jules Verne,1865,N/A,science_fiction
"Thuvia, Maid of Mars",Edgar Rice Burroughs,1916,N/A,science_fiction
A Princess of Mars,Edgar Rice Burroughs,1917,N/A,science_fiction
Voyage au Centre de la Terre,Jules Verne,1867,N/A,science_fiction
When the Sleeper Awakes,H. G. Wells,1899,N/A,science_fiction
